feature_name,seed_phrase,weight
Location,distance hotel,0.3303
Comfort,room huge,0.5152
Service,good service,0.6315
Comfort,room large clean,0.5970
Location,distance tiananmen,0.2073
Location,distance tiananmen square,0.3879
Comfort,room ready,0.2328
Service,staff generally,0.4230
Service,desk staff accept,0.7896
Service,club staff,0.4265
Cleanliness,clean well,0.6983
Location,location walking distance,0.5424
Location,location walking,0.5610
Location,excellent location,0.6990
Location,long walk,0.1742
Service,attentive staff,0.6614
Service,front desk limited,0.1928
Cleanliness,hotel clean,0.6150
Comfort,room tower,0.2467
Service,everyone front desk,0.5244
Service,desk helpful,0.5228
Cleanliness,clean rooms,0.6838
Service,reception desk told,-0.1170
Service,desk told,-0.0399
Service,internet service,0.2081
Service,staff speak english,0.2579
Comfort,rooms fine,0.4026
Comfort,beds really,0.5478
Price,good value price,0.6643
Price,value price,0.6477
Comfort,tower rooms,0.3436
Comfort,room noisy,-0.1248
Comfort,room view,0.2543
Comfort,bed firm,0.4082
Comfort,room looked,0.2333
Service,information desk,0.4612
Comfort,nice room,0.5887
Comfort,rooms well,0.5284
Location,hotel great location,0.7198
Location,location little,0.3091
Comfort,room beds nice,0.6331
Comfort,deluxe room beds,0.6918
Comfort,room beds,0.2770
Comfort,large room,0.4173
Service,desk staff friendly,0.6164
Service,went front desk,-0.0180
Service,professional service staff,0.4747
Location,distance metro station,0.5670
Comfort,beds spacious room,0.2419
Service,customer service,0.2060
Comfort,beds like,0.5164
Comfort,room one,0.1690
Service,checkin checkout,0.3422
Service,reception desk employees,0.6348
Comfort,beds firm,0.3533
Service,hotel manager,0.0964
Service,front desk friendly,0.5971
Location,distance many,0.5181
Location,location also,0.4858
Service,night manager,0.0743
Cleanliness,clean comfortable,0.7885
Service,staff hotel helpful,0.6250
Location,walk shower,0.4794
Service,english front desk,0.2855
Comfort,superior room,0.5758
Comfort,room told,0.0085
Comfort,rooms saw rooms,0.4691
Service,staff reception desk,0.4531
Service,reception desk also,0.2899
Service,front desk leaving,0.3248
Comfort,rooms spacious,0.4956
Price,good value money,0.7116
Comfort,rooms clean spacious,0.5574
Location,station less,0.1172
Service,front desk moved,0.0112
Service,front desk much,-0.0380
Comfort,room huge comfortable,0.6900
Comfort,rooms spacious beds,0.5814
Comfort,rooms comfortable,0.7087
Comfort,room hotel,0.2780
Comfort,escorted room,0.5465
Service,staff polite,0.4406
Comfort,room gorgeous,0.7537
Price,rack rate,0.1570
Service,staff courteous,0.7089
Service,staff courteous helpful,0.7778
Service,service great,0.7242
Comfort,room nice,0.5951
Comfort,rooms look,0.2779
Service,great staff,0.8109
Comfort,great beds,0.7855
Price,room rate worth,0.3195
Price,rate worth,0.3188
Comfort,room good,0.6010
Comfort,rooms starting,-0.0714
Service,check staff,0.3984
Comfort,room later room,0.6807
Comfort,regular room,0.2438
Comfort,horizon club room,0.3249
Comfort,club room,0.3464
Service,staff happy,0.7769
Comfort,room computer room,0.5264
Comfort,room number,0.1299
Comfort,night room,0.2040
Service,efficient reception desk,0.7781
Location,work area,0.3287
Location,station located,0.3414
Location,station located right,0.2970
Location,subway station located,0.2776
Comfort,room large room,0.5107
Comfort,bed pillows,0.5637
Comfort,bed pillows good,0.6743
Service,service levels,0.4022
Comfort,room ok,0.3586
Service,service excellent,0.6943
Service,service couple,0.8954
Service,room service couple,0.8954
Comfort,room service couple,0.8954
Comfort,bed comfortable,0.6157
Comfort,bed comfortable bathroom,0.6946
Service,bad service,-0.3090
Comfort,comfortable beds,0.7428
Service,car service,0.3117
Comfort,rooms quite,0.3644
Comfort,rooms quite large,0.3658
Service,service front,0.3775
Service,service front desk,0.3734
Service,front desk concierge,0.5255
Comfort,rooms modern,0.4864
Service,impressed staff reception,-0.2325
Service,deal front desk,0.4904
Comfort,single beds,0.1927
Service,good staff helpful,0.7867
Comfort,fresh air,0.4932
Location,hotels location,0.4632
Service,front desk contrary,0.4344
Service,expensive service,-0.0792
Comfort,individual rooms,0.4113
Comfort,rooms shared,0.5298
Service,excellent service,0.7464
Comfort,house rooms,-0.2866
Comfort,living room kitchen,0.4089
Comfort,room kitchen,0.3731
Location,walk along,0.4115
Service,staff kind,0.6461
Service,staff kind helpful,0.7899
Service,staff nice helpful,0.7590
Service,staff sweet,0.7642
Location,area around,0.3020
Location,restaurants area,0.4183
Price,good price,0.6432
Service,front desk efficient,0.6152
Service,desk efficient,0.4947
Service,staff concierge staff,0.4893
Service,staff concierge,0.4940
Service,concierge staff,0.5128
Location,distance subway,0.4283
Comfort,problems room,-0.0834
Location,station min walk,0.4413
Price,low price,0.1561
Comfort,room room smelled,0.1773
Comfort,new room,0.1243
Comfort,rooms old,0.0279
Location,location minutes,0.5583
Location,location low,0.1972
Comfort,rooms clean well,0.7190
Service,front desk staffthe,0.7553
Service,concierge front desk,0.3740
Service,concierge desk,0.3592
Service,concierge desk helpful,0.4690
Service,desk staff spoke,0.2544
Location,area short walk,0.4134
Location,hotel area,0.3072
Location,walk neighborhood,0.4090
Comfort,water room,0.2301
Location,location fantastic,0.6211
Location,beijing railway station,0.0766
Comfort,room per,0.3395
Price,great deal,0.6492
Comfort,room comfortable,0.6841
Comfort,beds like beds,0.4218
Service,desk amp,0.2026
Comfort,stayed executive room,0.4105
Service,good staff,0.6927
Comfort,excellent room,0.7280
Location,hotel price location,0.2739
Location,price location,0.3642
Price,hotel price location,0.2739
Price,hotel price,0.3926
Price,price location,0.3642
Comfort,issue room,0.1844
Comfort,size rooms,0.3752
Comfort,rooms worn,-0.3203
Comfort,room excellent,0.7351
Service,level customer service,0.1911
Comfort,rooms clean room,0.6813
Service,asked speak manager,-0.0931
Service,speak manager,-0.0596
Comfort,rooms one,0.1453
Service,attitude reception staff,0.0591
Service,reception staff concierge,0.6196
Service,reception staff also,0.2289
Comfort,upgraded rooms,0.0168
Location,walk metro station,0.4216
Price,price ok,0.4651
Comfort,room great,0.7056
Service,poor customer service,-0.4424
Service,front desk upgrade,0.4304
Service,told front desk,0.0027
Comfort,beds hard beds,-0.2767
Service,staff helpful well,0.6988
Service,desk staff personable,0.5437
Comfort,rooms rooms,0.3115
Comfort,room think room,0.5289
Service,front desk asked,0.0189
Service,front desk amp,0.3250
Comfort,furniture rooms,0.3216
Comfort,room nice room,0.5736
Comfort,rooms room,0.2828
Service,service wonderful,0.7085
Service,front desk allowed,0.1310
Service,check quick,0.3743
Service,terrible front desk,-0.0986
Service,front desk excuse,-0.5030
Service,problem front desk,-0.2130
Service,front desk handled,0.4631
Service,quality service,0.3336
Service,front desk wanted,0.0095
Service,quality front desk,-0.0552
Service,service charge,0.0921
Price,service charge,0.1011
Location,area place,0.2805
Comfort,rooms good room,0.6456
Comfort,rooms good,0.6429
Comfort,good room,0.5988
Comfort,room facing,0.1907
Comfort,rooms pool,0.3461
Price,cost internet,0.0255
Location,location central,0.3860
Comfort,rooms clean modern,0.6174
Comfort,beds comfortable,0.6466
Comfort,rooms large,0.4569
Comfort,rooms large beds,0.6077
Location,location excellent,0.6545
Location,desk area,0.3822
Service,reception staff spoke,0.4638
Service,easy reception staff,0.8168
Comfort,size beds,0.3815
Location,location hotel excellent,0.6532
Location,within minute walk,0.2463
Comfort,room price,0.3575
Price,room price,0.3575
Service,staff excellent,0.7220
Comfort,room rate,0.3046
Price,room rate,0.3046
Location,location right,0.5206
Location,easy walk,0.5889
Cleanliness,room clean,0.5767
Comfort,room club,0.3655
Service,staff little,0.2420
Location,location near,0.5557
Comfort,room gave us,0.1875
Comfort,room gave,0.1805
Comfort,screen tv room,0.3007
Comfort,room although,0.3386
Comfort,tv room,0.2479
Service,desk service also,0.2083
Service,desk service,0.3249
Location,hotel convenient,0.2918
Location,convenient location offered,0.8995
Location,hotel convenient location,0.5166
Service,great service,0.7383
Location,ten minute walk,0.2654
Comfort,regular rooms,0.3904
Location,walk subway,0.3071
Comfort,room quite,0.3257
Service,staff quite,0.3993
Comfort,small rooms,0.2292
Location,location good walk,0.5500
Location,good walk,0.4632
Comfort,room good bed,0.7175
Comfort,bed nice,0.6792
Location,location great walk,0.6415
Comfort,room amp,0.3077
Comfort,level room,0.2085
Comfort,club level room,0.2971
Price,first rate,0.3867
Comfort,rooms completely,0.1765
Comfort,room comfortable would,0.6010
Cleanliness,room spotless,0.3881
Comfort,room spotless,0.3885
Comfort,problem room,-0.1170
Service,plaza front desk,0.5501
Service,desk concierge,0.4695
Comfort,room pretty,0.5919
Comfort,room non smoking,0.1255
Comfort,room non,0.0810
Service,service location,0.4339
Service,price service,0.6244
Location,service location,0.4343
Location,area location,0.5314
Price,price service,0.6244
Service,hotel reception staff,0.4486
Service,front desk could,0.2187
Comfort,next room,0.0822
Price,value rate,0.6431
Price,good value rate,0.8449
Comfort,temperature room,0.1394
Comfort,room recently,0.3302
Comfort,rooms windows,-0.0916
Location,walk main,0.2933
Service,service best service,0.6532
Comfort,room beautifully,0.6948
Service,staff lobby,0.3461
Cleanliness,nice clean,0.7522
Service,thought staff helpful,0.6073
Service,staff helpful ensured,0.6330
Location,distance great,0.7873
Comfort,club room nice,0.8460
Comfort,room already,0.1240
Service,service received,0.4014
Service,desk staff expect,-0.3310
Price,rate hotel,0.3787
Location,location perfect,0.6568
Price,taxis cheap,-0.0351
Service,staff great,0.7641
Comfort,floor rooms,0.2184
Comfort,club floor rooms,0.0766
Service,service terrible,-0.5078
Comfort,rooms excellent,0.7803
Comfort,room nice bathroom,0.4582
Comfort,rooms huge,0.5104
Service,rooms service,0.3536
Comfort,rooms service,0.3627
Comfort,room room clean,0.6222
Location,location good location,0.5264
Service,service hotel,0.3456
Comfort,smoking room,0.0558
Comfort,times rooms,0.6343
Comfort,rooms excellent beds,0.7850
Service,service excellent staff,0.8018
Service,excellent staff,0.8001
Comfort,club room room,0.2771
Comfort,room room fantastic,0.7898
Service,staff extremely,0.6142
Comfort,room pleasant,0.6823
Comfort,rooms huge beds,0.6469
Comfort,modern rooms,0.5475
Location,location possible walk,0.7396
Location,walk forbidden city,-0.0458
Location,walk forbidden,-0.0400
Service,lobby front desk,0.2994
Location,location price,0.3770
Price,location price,0.3746
Service,front desk ca,0.1766
Service,service help staff,0.9087
Service,poor service,-0.2999
Price,charge service charge,-0.0048
Price,price value,0.5227
Comfort,rooms great,0.7638
Comfort,club rooms,0.3681
Location,convenient safe location,0.5878
Comfort,bigger room,0.2341
Comfort,beds rooms,0.4803
Service,front desk convenient,0.6155
Price,big deal,0.0259
Service,front desk terrible,-0.5099
Service,desk staff make,0.5626
Price,price cheap,0.2992
Price,price cheap location,0.8172
Service,service friendly staff,0.8232
Comfort,air conditionning,-0.0016
Location,underground station,0.2850
Comfort,rooms suites,0.4660
Service,staff staff,0.5712
Location,convenient location need,-0.0580
Service,english staff,0.1918
Service,hotel staff friendly,0.6933
Service,staff efficient helpful,0.7506
Comfort,comfortable rooms,0.7708
Location,industrial area,-0.1049
Service,hotel service,0.3802
Service,front desk people,0.3279
Service,desk people,0.3271
Service,manager hotel manager,-0.2038
Location,area also,0.3514
Service,desk helpful service,0.7360
Comfort,comfortable bed pillows,0.7227
Comfort,room room service,0.2463
Comfort,bed room us,0.3621
Comfort,clean comfortable rooms,0.8391
Price,price expensive,0.3691
Price,problem price expensive,0.2176
Comfort,beds firm comfortable,0.6285
Service,staff restaurant,0.4714
Service,front desk lobby,0.5709
Service,currency front desk,0.1424
Location,location ok,0.3741
Service,chinese reception staff,0.1661
Comfort,rooms comfortable beds,0.8098
Service,clean staff,0.7601
Comfort,basement room,-0.0072
Location,walk east,0.1901
Service,hotel staff helpful,0.5687
Price,price right,0.3533
Comfort,family room,0.2544
Comfort,hard beds,0.0966
Comfort,room internet,0.0657
Service,hotel staffs,0.5333
Location,location minutes walk,0.5641
Comfort,room given,0.1105
Comfort,rooms little,0.3589
Price,reasonable prices,0.4979
Location,place location,0.4457
Location,location location,0.4100
Location,location location hotel,0.5729
Comfort,air con,0.2233
Service,friendly helpful,0.7895
Location,minute walk forbidden,-0.0817
Price,rate around,0.3991
Comfort,rooms hard beds,0.6012
Location,central location near,0.2626
Comfort,room much,0.2871
Location,location pretty good,0.7119
Location,location pretty,0.6824
Location,location really,0.4894
Price,price paid,0.3659
Location,walk direction,0.2009
Location,walk shopping,0.3025
Comfort,size room,0.3148
Price,good rate,0.5747
Service,room service hotel,0.2956
Comfort,room service hotel,0.2956
Location,location convenient close,0.4398
Service,staff speaks,0.2117
Comfort,budget room,0.2207
Price,free charge,0.6109
Location,omelet station,0.2863
Comfort,budget rooms,0.2725
Location,location best,0.6049
Service,reception staff always,0.6210
Service,staff nice,0.6333
Location,area would,0.3864
Location,area would recommend,0.2975
Location,station bus,0.2541
Comfort,deluxe room view,0.3916
Comfort,booked deluxe room,0.2346
Comfort,room safe,0.5157
Location,perfect location,0.6850
Location,better location,0.2980
Service,staff said,0.0119
Comfort,room window,0.1217
Location,location really good,0.5499
Location,location min,0.5693
Comfort,first room,0.0620
Location,location near forbidden,0.0426
Comfort,room stayed,0.2939
Comfort,room people room,0.3147
Service,guy front desk,0.1945
Service,front desk happy,0.5359
Location,convenient location mins,0.8596
Comfort,beds room actually,0.1067
Comfort,beds room,0.3281
Service,floor front desk,0.4402
Comfort,room bed,0.2641
Service,front desk guy,0.1947
Service,ask front desk,0.2762
Location,convenient location near,0.3950
Location,subway stations,0.3085
Price,worth price,0.3231
Comfort,room nights,0.2299
Price,price range,0.3438
Comfort,air con rooms,0.1274
Comfort,room air con,0.3485
Comfort,rooms basement,0.1110
Service,tour front desk,0.5434
Location,distance major,0.5155
Service,staff also helpful,0.6532
Location,location ideal,0.5887
Service,front desk quite,0.2659
Service,front desk come,0.2617
Cleanliness,small clean,0.5593
Comfort,non smoking room,0.0586
Comfort,machine noise,0.2113
Comfort,room could,0.1724
Service,staff restaurant reception,0.4696
Service,reception staff simply,0.2787
Service,mention reception staff,-0.1271
Service,nice helpful,0.7472
Comfort,room beautiful,0.7232
Service,staff helpful freindly,0.4715
Comfort,room extra bed,0.1427
Location,police station,0.0737
Comfort,rooms charming,0.6884
Service,helpful friendly,0.7866
Service,staff check,0.3587
Comfort,room ground floor,0.1283
Comfort,room ground,0.1488
Location,location short walk,0.5971
Service,service reception,0.3931
Comfort,rooms different room,0.4147
Service,helpful reception staff,0.7166
Service,reception staff worked,0.3435
Comfort,courtyard room,0.1793
Price,price good value,0.6435
Service,reception staffs,0.7647
Service,staffs nice helpful,0.7520
Service,service smile,0.7587
Comfort,rooms beds,0.4374
Comfort,rooms beds really,0.0954
Service,services front,0.5696
Service,services front desk,0.5696
Service,front desk next,-0.0922
Service,service service,0.2611
Comfort,nice comfortable rooms,0.8043
Service,reception manager,0.0815
Service,staff excellent front,0.6639
Service,front desk housekeeping,0.6427
Service,excellent front desk,0.6412
Comfort,room given room,0.1505
Comfort,room included room,0.6061
Location,waffle station,0.3173
Location,hotel central location,0.3866
Location,location close forbidden,-0.0025
Location,central location close,0.3660
Service,service pleasant,0.5696
Service,staff great helpful,0.8257
Comfort,room nice comfortable,0.7565
Comfort,view room,0.2962
Comfort,city view room,0.3039
Comfort,rooms floor rooms,0.0745
Location,location ca,0.3006
Service,front desk girl,0.2788
Price,hotel deal price,0.5344
Location,distance shopping areas,0.6519
Service,staff lobby desk,0.4308
Service,pass front desk,0.2340
Comfort,room average,0.2603
Service,checked front desk,0.3278
Comfort,suite room,0.3844
Location,chose hotel location,0.3195
Service,concierge services,0.4702
Comfort,room perfect,0.6874
Comfort,room quiet,0.3068
Location,pool area,0.3743
Service,hyatt staff,0.4885
Comfort,included room,0.2343
Comfort,included room rate,0.2959
Price,included room rate,0.3310
Price,hotel charge,0.0416
Comfort,room decent,0.3226
Comfort,room decent size,0.3688
Service,service housekeeping,0.4078
Comfort,room dining,0.3242
Price,additional charge,0.0427
Location,area walk,0.3872
Comfort,internet room,0.3163
Price,charge per,0.0692
Service,hyatt service,0.5709
Service,service impeccable,0.3971
Service,service one,0.2634
Service,check room,0.2070
Comfort,check room,0.2069
Service,staff extremely helpful,0.6635
Comfort,locker rooms,0.4738
Service,concierge service,0.4191
Service,staff simply,0.3206
Service,service outstanding,0.6865
Service,front desk explained,-0.1398
Service,called front desk,-0.0003
Service,food service,0.4594
Service,front desk ever,0.4936
Comfort,room kitchenette,0.3751
Service,staff always,0.6231
Service,staff always helpful,0.6635
Service,service airport,0.4381
Service,desk concierge staff,0.5545
Comfort,room well,0.5366
Service,friendliness service staff,0.7458
Price,nice value price,0.7464
Comfort,room kids,0.4420
Location,area quite,0.3587
Comfort,rooms floor,0.2768
Location,hyatt location,0.3918
Location,common areas,0.3606
Price,low cost,0.1994
Comfort,larger rooms,0.2841
Location,area nice area,0.4940
Location,lobby area,0.3911
Location,area nice,0.5727
Location,walk wangfujing,0.1412
Service,enough staff,0.3073
Service,hotel great service,0.8204
Location,location superb,0.6871
Service,staff english,0.5667
Comfort,rooms fabulous,0.6969
Price,hotel great price,0.7339
Price,great price,0.7464
Comfort,standard rooms,0.2889
Comfort,room always,0.4214
Location,spa area,0.3140
Comfort,rooms spotless beds,0.7103
Location,location central location,0.3967
Location,walk tiananmen square,0.3487
Location,walk tiananmen,0.3415
Service,staff exceptional,0.4243
Service,staff exceptional helpful,0.6345
Comfort,standard room room,0.4250
Comfort,room room interior,0.4602
Service,service great rooms,0.8348
Comfort,service great rooms,0.8348
Comfort,great rooms,0.7767
Price,rate one,0.4635
Comfort,beds comfortable rooms,0.6902
Comfort,request room,0.2107
Service,hotel good service,0.6076
Location,separate area,0.3184
Comfort,room requested room,0.2237
Comfort,room requested,0.1804
Comfort,room separate,0.3658
Location,fantastic location,0.7110
Location,best location,0.6890
Comfort,room clean room,0.5636
Comfort,clean room,0.5756
Comfort,size bed pillows,0.6921
Comfort,room lovely,0.7364
Comfort,room small kitchen,0.3827
Comfort,beds comfortable pillows,0.5480
Service,services great,0.7839
Service,laundry service,0.3066
Comfort,booked room,0.1827
Comfort,grand deluxe room,0.6526
Comfort,booked club room,0.4984
Service,disappointed service,-0.0878
Service,staff good,0.6677
Location,location ca beat,0.2869
Location,restaurant location,0.5160
Price,weekend rate,0.4601
Price,rate available,0.4236
Price,value weekend rate,0.8215
Comfort,time room,0.2536
Price,hotels price,0.3611
Service,service also,0.4445
Service,service second none,0.4563
Service,service second,0.3697
Price,rate included,0.3821
Price,higher rate,0.0220
Location,pool convenient location,0.5819
Service,service restaurant,0.2591
Comfort,fitness room,0.5387
Location,location could,0.1420
Service,front desk night,0.1553
Price,cost cny,0.3140
Service,wonderful staff service,0.6923
Comfort,room sleep,0.2984
Comfort,separate room sleep,0.0252
Comfort,rooms nicely,0.6388
Service,staff helpful organised,0.5871
Comfort,air con heating,0.4928
Comfort,room rooms,0.3490
Comfort,fitness room rooms,0.6099
Service,issue front desk,-0.0426
Service,service cleanliness,0.4968
Comfort,room club floor,0.3204
Comfort,room nice touch,0.5909
Service,concierge staff helpful,0.6139
Comfort,inferior room,-0.3803
Location,location could better,-0.0179
Service,staff services,0.2737
Service,hotel staff services,0.5347
Service,front desk porter,0.4930
Service,smile front desk,0.6609
Service,desk lobby,0.3774
Service,service excellent front,0.6323
Location,min walk,0.3619
Service,staff would,0.3671
Location,nice walk,0.5332
Service,free front desk,0.6752
Price,prices much,0.4339
Cleanliness,clean tidy,0.6038
Cleanliness,room clean tidy,0.5760
Location,subway stations within,0.1507
Location,stations within,0.2725
Location,metro stations,0.4028
Service,staff reception really,0.3471
Location,two subway stations,0.2111
Location,distance walk,0.4102
Service,service friendly,0.6459
Service,front desk speak,0.2160
Service,service staff quality,0.1330
Service,general service staff,0.6076
Location,shopping areas,0.3241
Comfort,beds room cleaned,0.6818
Comfort,comfortable beds room,0.6829
Comfort,rooms lovely,0.7671
Service,overall staff helpful,0.7322
Price,half price,0.3300
Comfort,room big,0.3722
Comfort,beds comfortable room,0.7067
Comfort,steam room,0.4315
Comfort,sauna steam room,0.4979
Location,distance location,0.4608
Location,distance location hotel,0.2917
Service,comfy staff helpful,0.7227
Price,good deal,0.5774
Service,front desk answer,-0.0926
Service,attention front desk,0.3321
Location,station shopping,0.3533
Service,reception beautiful staff,0.8546
Location,distance anything,0.2603
Service,lobby staff,0.5936
Price,best price,0.7005
Service,service food,0.3858
Location,location convenient minute,0.6186
Service,front desk said,-0.0139
Location,station minutes,0.3538
Location,subway station minutes,0.5109
Comfort,room located,0.1649
Service,staff counter staff,0.8115
Service,staff kitchen staff,0.7720
Service,staff waiting staff,0.7714
Comfort,air conditioning rooms,-0.0041
Comfort,mattresses beds,-0.0304
Comfort,nice bed pillows,0.6897
Location,breakfast area,0.2792
Location,area though,0.2597
Location,walk around,0.2708
Service,staff polite helpful,0.5364
